Name	1: Id:1 Vel_NC (kp:50 Tn:5)
Record-Number	1
Axis-ID	1
Min Frequency [Hz]	1
Max Frequency [Hz]	247.5
Frequency Steps	100
Mode	Velocity NC (without oversampling)
Position Monitoring Window [mm]	50
Velocity Amplitude Scaling Mode	1/ 10 at 1000Hz
Velocity Base Amplitude [mm/s]	10
Velocity Signal Amplitude [mm/s]	20
Integral Time [s]	5
Proportional Gain	50
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
0.9765625	-17.354718557294884	-76.423696584272463	20.226826766007715	-73.456913610863666	-0.27337570855075782	-5.192149234636469
1.953125	-26.771623590927369	-92.315850995586175	9.4075561425661451	-95.005002520164965	-0.23476263838007988	-19.163519615205541
2.9296875	-29.890497024688994	-91.2538106098833	6.4055413161671817	-93.748520677990982	-0.66792184116929676	-26.229898106460471
3.90625	-33.034498914268184	-87.147595666177523	3.0848157577726791	-88.521010283705351	-1.84033475223477	-34.542626267766387
4.8828125	-34.712592942875006	-88.300903964507114	1.4671448713940198	-90.325189593907908	-2.3140199142398927	-40.319207639194808
5.859375	-36.459473086464492	-87.783881496096825	-0.33370810131202733	-89.935715826225618	-3.1852247826272606	-46.066993119635178
6.8359375	-37.624622487491713	-89.762595951346668	-1.479732723243425	-92.863237390429319	-3.5936135101010085	-51.536360313041286
7.8125	-39.101166608556944	-89.583013408689908	-3.0583541235774496	-92.8350346985142	-4.5963084912688661	-56.793401104939768
8.7890625	-40.135856734315119	-90.290459038859623	-4.1230094300926412	-94.054365255136759	-5.25917749695936	-61.06771533997874
9.765625	-41.150094382444436	-88.833389678535156	-5.1664127931448833	-92.49883586088778	-6.1571222416482749	-63.044183411572462
10.7421875	-42.152369027473611	-89.347037273496753	-6.2403321660037889	-93.372100928840339	-6.9603110850774241	-66.759714259631792
11.71875	-43.207927934213146	-88.721254631343527	-7.3823598885125019	-92.739422924627178	-7.9584586660278624	-69.188835595112238
12.6953125	-44.026170822475507	-87.614643628427075	-8.23773532892495	-91.607933751657768	-8.762012380371079	-70.229527726889941
13.671875	-44.864112064745186	-81.397538449631185	-9.0748291653935063	-84.17337960482547	-9.8491052308597045	-65.503982192088955
14.6484375	-45.3506313817558	-75.316898932434086	-9.5085814227933145	-77.01180063255282	-10.520547457442866	-60.141078653614933
15.625	-45.528806547621237	-69.54515524466359	-9.5839382800532942	-70.210146641557628	-10.837749115316889	-54.534368025896683
16.6015625	-46.03604944159126	-64.305860464679284	-10.09286169706769	-63.98974058341711	-11.467311548575728	-50.101718368343789
17.578125	-45.674881730422818	-58.297718550451286	-9.5268769024087714	-56.609262092718637	-11.226747010753307	-43.356126651164743
