Name	ScopeWizard	
File	C:\Users\edelio25024\Documents\Scope Project_PAPU_1.csv	
Starttime of export	134299034090180000	quinta-feira, 30 de julho de 2026	13:43:29.018
Endtime of export	134299034383614992	quinta-feira, 30 de julho de 2026	13:43:58.361


Name	ActPos	Name	ActVelo	Name	SetVelo
SymbolComment		SymbolComment		SymbolComment	
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	2	SampleTime[ms]	2	SampleTime[ms]	2
VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16641	IndexGroup	16641	IndexGroup	16641
IndexOffset	65538	IndexOffset	65541	IndexOffset	14
SymbolName	Axes.Axis 1.ActPos	SymbolName	Axes.Axis 1.ActVelo	SymbolName	Axes.Axis 1.SetVelo
NetID	5.159.93.98.1.1	NetID	5.159.93.98.1.1	NetID	5.159.93.98.1.1
Port	501	Port	501	Port	501
Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	mm/s (Velocity)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0

0	-641,2168	0	-0,0053217888760744318	0	0
2	-641,2168	2	-0,00443482406339536	2	0
4	-641,2168	4	-0,0036956867194961334	4	0
6	-641,2168	6	-0,0030797389329134447	6	0
8	-641,2168	8	-0,0025664491107612042	8	0
10	-641,21670000000006	10	0,0061946257389404909	10	0
12	-641,2168	12	-0,0031711452154577517	12	0
14	-641,21670000000006	14	0,0056907123183600351	14	0
16	-641,2168	16	-0,0035910730659414651	16	0
18	-641,2168	18	-0,0029925608882845544	18	0
20	-641,2168	20	-0,002493800740237129	20	0
22	-641,2168	22	-0,002078167283530941	22	0
24	-641,2168	24	-0,0017318060696091175	24	0
26	-641,2168	26	-0,0014431717246742646	26	0
28	-641,2168	28	-0,0012026431038952205	28	0
30	-641,21670000000006	30	0,0073311307446621444	30	0
32	-641,21670000000006	32	0,006109275620551787	32	0
34	-641,21670000000006	34	0,0050910630171264893	34	0
36	-641,2168	36	-0,00409078081696942	36	0
38	-641,21670000000006	38	0,004924349317100311	38	0
40	-641,21670000000006	40	0,0041036244309169264	40	0
42	-641,21670000000006	42	0,0034196870257641055	42	0
44	-641,21670000000006	44	0,0028497391881367549	44	0
46	-641,21670000000006	46	0,0023747826567806292	46	0
48	-641,21670000000006	48	0,0019789855473171911	48	0
50	-641,2168	50	-0,0066841787084771682	50	0
52	-641,21670000000006	52	0,0027631844075105202	52	0
54	-641,21670000000006	54	0,0023026536729254337	54	0
56	-641,21670000000006	56	0,0019188780607711949	56	0
58	-641,2168	58	-0,0067342682805988322	58	0
60	-641,21670000000006	60	0,0027214430974091342	60	0
62	-641,2168	62	-0,0060654640834005491	62	0
64	-641,2168	64	-0,0050545534028337913	64	0
66	-641,2168	66	-0,0042121278356948262	66	0
68	-641,2168	68	-0,0035101065297456885	68	0
70	-641,2168	70	-0,0029250887747880737	70	0
72	-641,2168	72	-0,0024375739789900615	72	0
74	-641,2168	74	-0,0020313116491583847	74	0
76	-641,21670000000006	76	0,0066405736236095072	76	0
78	-641,21670000000006	78	0,0055338113530079228	78	0
80	-641,21670000000006	80	0,0046115094608399363	80	0
82	-641,2168	82	-0,0044904087805415476	82	0
84	-641,21670000000006	84	0,004591326014123538	84	0
86	-641,2168	86	-0,00450722831947188	86	0
88	-641,21670000000006	88	0,0045773097316815945	88	0
90	-641,2168	90	-0,0045189085548401654	90	0
92	-641,21670000000006	92	0,0045675762022080232	92	0
94	-641,21670000000006	94	0,0038063135018400196	94	0
96	-641,2168	96	-0,0051614054130414777	96	0
98	-641,2168	98	-0,0043011711775345646	98	0
100	-641,21670000000006	100	0,0047490240166293569	100	0
102	-641,21670000000006	102	0,0039575200138577977	102	0
104	-641,2168	104	-0,0050353999863599966	104	0
106	-641,2168	106	-0,0041961666552999977	106	0
108	-641,2168	108	-0,0034968055460833317	108	0
110	-641,21670000000006	110	0,0054193287095053843	110	0
112	-641,21670000000006	112	0,0045161072579211542	112	0
114	-641,21670000000006	114	0,0037634227149342951	114	0
116	-641,2168	116	-0,0051971477354629154	116	0
118	-641,2168	118	-0,0043309564462190968	118	0
120	-641,2168	120	-0,0036091303718492475	120	0
122	-641,2168	122	-0,0030076086432077064	122	0
124	-641,21670000000006	124	0,0058269927952350718	124	0
126	-641,2168	126	-0,0034775060018789345	126	0
128	-641,2168	128	-0,0028979216682324454	128	0
130	-641,21670000000006	130	0,0059183986077144569	130	0
132	-641,21670000000006	132	0,004931998839762048	132	0
134	-641,21670000000006	134	0,00410999903313504	134	0
136	-641,2168	136	-0,0049083341369622942	136	0
