Name	ScopeWizard_4	
File	C:\Users\edelio25024\Documents\Scope Project_PAPU_4.csv	
Starttime of export	134299043189600000	quinta-feira, 30 de julho de 2026	13:58:38.960
Endtime of export	134299043493469432	quinta-feira, 30 de julho de 2026	13:59:09.346


Name	ActPos	Name	ActVelo	Name	SetVelo

0	-760.00010000000009	0	-0.0015893771707648251	0	0
2	-760.00010000000009	2	-0.0013244809756373544	2	0
4	-760	4	0.0072295991943509361	4	0
6	-760.00010000000009	6	-0.0023086673454229519	6	0
8	-760.00010000000009	8	-0.0019238894545191266	8	0
10	-760.00010000000009	10	-0.0016032412120992722	10	0
12	-760	12	0.0069972989972993385	12	0
14	-760.00010000000009	14	-0.0025022508429659498	14	0
16	-760.00010000000009	16	-0.0020852090358049582	16	0
18	-760.00010000000009	18	-0.0017376741965041318	18	0
20	-760.00010000000009	20	-0.00144806183042011	20	0
22	-760	22	0.00712661514869864	22	0
24	-760	24	0.0059388459572488669	24	0
26	-760.00010000000009	26	-0.0033842950430080093	26	0
28	-760	28	0.005513087471542057	28	0
30	-760	30	0.0045942395596183811	30	0
32	-760	32	0.0038285329663486512	32	0
34	-760	34	0.003190444138623876	34	0
36	-760.00010000000009	36	-0.0056746298918621679	36	0
38	-760	38	0.0036044750974969248	38	0
40	-760.00010000000009	40	-0.0053296040928012944	40	0
42	-760	42	0.0038919965967143194	42	0
44	-760	44	0.003243330497261933	44	0
46	-760	46	0.0027027754143849445	46	0
48	-760	48	0.0022523128453207871	48	0
50	-760.00010000000009	50	-0.0064564059696147428	50	0
52	-760	52	0.0029529950327031127	52	0
54	-760.00010000000009	54	-0.0058725041467961384	54	0
56	-760	56	0.00343957988505195	56	0
58	-760.00010000000009	58	-0.0054670167698387733	58	0
60	-760.00010000000009	60	-0.0045558473081989776	60	0
62	-760.00010000000009	62	-0.0037965394234991483	62	0
64	-760.00010000000009	64	-0.003163782852915957	64	0
66	-760.00010000000009	66	-0.0026364857107632977	66	0
68	-760.00010000000009	68	-0.0021970714256360816	68	0
70	-760.00010000000009	70	-0.0018308928546967348	70	0
72	-760.00010000000009	72	-0.0015257440455806123	72	0
74	-760	74	0.0070618799693982215	74	0
76	-760	76	0.0058848999744985182	76	0
78	-760.00010000000009	78	-0.0034292500286332997	78	0
80	-760	80	0.0054756249835209818	80	0
82	-760	82	0.0045630208196008187	82	0
84	-760.00010000000009	84	-0.00453081599104805	84	0
86	-760.00010000000009	86	-0.0037756799925400416	86	0
88	-760.00010000000009	88	-0.0031463999937833679	88	0
90	-760.00010000000009	90	-0.0026219999948194732	90	0
92	-760.00010000000009	92	-0.0021849999956828946	92	0
94	-760	94	0.006512500010979653	94	0
96	-760	96	0.0054270833424830446	96	0
98	-760.00010000000009	98	-0.0038107638886461948	98	0
100	-760.00010000000009	100	-0.0031756365738718293	100	0
102	-760.00010000000009	102	-0.002646363811559858	102	0
104	-760	104	0.0061280301644155172	104	0
106	-760.00010000000009	106	-0.003226641537035801	106	0
108	-760.00010000000009	108	-0.0026888679475298343	108	0
110	-760	110	0.0060926100511072036	110	0
112	-760.00010000000009	112	-0.0032561582981260623	112	0
114	-760	114	0.0056198680922770134	114	0
116	-760.00010000000009	116	-0.0036501099304845543	116	0
118	-760	118	0.0052915750653116031	118	0
120	-760.00010000000009	120	-0.0039236874529557288	120	0
122	-760.00010000000009	122	-0.003269739544129774	122	0
124	-760	124	0.00560855038727392	124	0
126	-760	126	0.0046737919893949332	126	0
128	-760	128	0.0038948266578291112	128	0
130	-760	130	0.0032456888815242594	130	0
132	-760.00010000000009	132	-0.005628592606111849	132	0
134	-760.00010000000009	134	-0.0046904938384265413	134	0
136	-760	136	0.0044245884753599477	136	0
138	-760	138	0.0036871570627999566	138	0
140	-760	140	0.0030726308856666306	140	0
142	-760	142	0.0025605257380555257	142	0
144	-760.00010000000009	144	-0.0061995618923357939	144	0
146	-760.00010000000009	146	-0.0051663015769464948	146	0
148	-760	148	0.0040280820265933192	148	0
150	-760.00010000000009	150	-0.0049765983185543	150	0
152	-760	152	0.0041861680752534819	152	0
154	-760	154	0.0034884733960445684	154	0
156	-760.00010000000009	156	-0.0054262721773449245	156	0
158	-760.00010000000009	158	-0.0045218934811207707	158	0
160	-760.00010000000009	160	-0.0037682445676006423	160	0
162	-760	162	0.00519312953438153	162	0
164	-760	164	0.0043276079453179418	164	0
166	-760.00010000000009	166	-0.00472699338628378	166	0
168	-760.00010000000009	168	-0.0039391611552364834	168	0
170	-760.00010000000009	170	-0.0032826342960304029	170	0
172	-760.00010000000009	172	-0.002735528580025336	172	0
174	-760.00010000000009	174	-0.0022796071500211135	174	0
176	-760.00010000000009	176	-0.0018996726250175946	176	0
178	-760.00010000000009	178	-0.0015830605208479954	178	0
180	-760.00010000000009	180	-0.001319217100706663	180	0
182	-760	182	0.0072339857567931794	182	0
184	-760.00010000000009	184	-0.0023050118767210821	184	0
186	-760	186	0.0064124901101144972	186	0
188	-760	188	0.0053437417584287477	188	0
190	-760	190	0.0044531181320239567	190	0
192	-760	192	0.0037109317766866306	192	0
194	-760	194	0.003092443147238859	194	0
196	-760	196	0.0025770359560323827	196	0
198	-760	198	0.0021475299633603191	198	0
200	-760.00010000000009	200	-0.0065437250379151331	200	0
202	-760.00010000000009	202	-0.0054531041982626115	202	0
204	-760.00010000000009	204	-0.0045442534985521768	204	0
206	-760	206	0.0045464554252552507	206	0
208	-760	208	0.0037887128543793759	208	0
210	-760.00010000000009	210	-0.0051760726287325854	210	0
212	-760	212	0.0040199394834382436	212	0
214	-760	214	0.0033499495695318697	214	0
216	-760.00010000000009	216	-0.00554170869943884	216	0
218	-760	218	0.0037152427578496985	218	0
